,shopee_product_ID,shopee_name,shopee_cat,shopee_price,lazada_name,lazada_cat,lazada_price,lazada_discount_price,lazada_weight,similarity_score
1087,123806356,Fancycube Lip Balm Makeup Jelly Flower Lipstick,Cosmetics,50765,"Fancyqube Fashion Womens Lipstick Red Lips Dangle Earrings Piercing
Ear Stud Jewelry Red","Jam Tangan, Kacamata, dan Perhiasan",32000.0,32000.0,0.3,0.394804100655
1088,159679215,Fancycube T6 flashlight charging zoom flashlight suits,Electronics,123321,"Fancyqube Led Keychains Flashlight Sound Rings Toys Simulation
Camera Cartoon Keychains Black - intl","Jam Tangan, Kacamata, dan Perhiasan",61000.0,61000.0,,0.329959531962
1089,212360346,Fancyqube Knit Deep V Collar long sleeve Choker top,Women Clothes,101071,"Fancyqube Womens Girls V Neck Laces Long Sleeve Shirt Knitted Crop
Top Party Clubwear Coffee - intl",Fashion,169000.0,169000.0,,0.4184299157
1090,128076641,Fancycube Suicide Squad Clown female leather collar,Fashion Accessories,101901,Fancyqube Suicide squad clown female keychain Silver - intl,Tas & Travel,40000.0,40000.0,,0.735551556951
1091,128076662,Fancyqube New women's vintage elegant floral crochet stretch evening dress,Women Clothes,102605,"Fancyqube Vintage Style Womens Elegant Crochet Openwork Lace
Patchwork Blouses Crew Neck Long Sleeve Chiffon Shirts 6 Sizes 4
Colors Black",Fashion,201000.0,201000.0,0.3,0.441999921574
1092,114858293,Fancycube Serpentine skeleton shape shoulder bag,Women Bags,113084,Fancyqube Skeleton Skull Bangle Bracelet Gold,"Jam Tangan, Kacamata, dan Perhiasan",38000.0,38000.0,0.3,0.329624803595
1093,114858256,Fancycube Children fox hat warm winter wool hat,Baby & Kids,127074,"Fancyqube Fashion Men and Women Dance Hat Knitted Wool Hats
Outdoors In Autumn and Winter Knit Hat Black - intl",Fashion,62000.0,62000.0,,0.49256015382
1094,264667531,Fancyqube  Short Sleeve Lady Slim Sexy Loose Dress,Women Clothes,83565,"Fancyqube Summer New Fashion Women Dress Short Sleeve Loose Mini
Short Dresses Casual Print Hollow Dress For Woman Clothes Black -
intl",Fashion,206000.0,206000.0,,0.53329550215
1095,212359906,Fancyqube Women Side Knotted Loose Tank Shirt tops,Women Clothes,64250,"Fancyqube Women Batman Sleeveless Shirts Cartoon Tank knotted Tops
Black - intl",Fashion,121000.0,121000.0,0.1,0.58881452738
1096,190277151,Fancyqube Low Cut Lace Up Front Sheer Lace Stretch Top,Women Clothes,77061,"Fancyqube Summer Fashion Lace Up Hollow Front Solid Sleeveless Slim
Fit Pullover Tank Top Black - intl",Fashion,141000.0,141000.0,,0.432193343289
1097,208252956,Fancyqube Girl Moon Printed Dress Short Black Gray Dress,Women Clothes,95824,"Fancyqube Large Size Summer Dress Printed Dress Short Sleeves
Straight Dresses Women Clothing Burgandy - intl",Fashion,85000.0,85000.0,,0.509930905316
1098,222922727,Fancyqube Women's Plus Size Short Sleeve Print Casual Tops,Women Clothes,72192,"Fancyqube Plus Size Women's Fashion Printed Cotton Sleeveless Vest
Black Sport T-Shirt Tank Top Black - intl",Fashion,74000.0,74000.0,,0.577117860819
1099,114843106,Fancycube Assassin's Creed Men's Hooded Zipper Sweater ,Men Clothes,158306,"Fancyqube explosion of Assassin s Creed sweater oblique zipper
hooded jacket Black Red - intl",Fashion,272000.0,272000.0,,0.619248914747
1100,123806121,Fancycube Mini Electronic Digital Jewelry Pocket Gram Scale,Fashion Accessories,93171,"Fancyqube Digital Scale Jewelry Electronic scales Precision Balance
bilancia digitale di precisione scales - intl",Alat Dapur,89000.0,89000.0,,0.607313912959
1101,239028829,Fancyqube Short Sleeve Tower Printed Round Neck T-shirt,Men Clothes,80629,Fancyqube Letter Printing Round Neck Short Sleeve T-shirt (Black),Fashion,87000.0,87000.0,0.14,0.711547645421
1102,128076966,Fancycube Harry Potter Hoggy Warty Scarves Cosplay Wrap,Fashion Accessories,65727,"Fancyqube Gift Harry Potter Fans Authentic Hot Selling 5pcs Harry
Potter Wizard Wand Make up Brushes Set Kit Storybook Cosmetics -
intl",Kesehatan & Kecantikan,133000.0,133000.0,,0.487919966962
1103,182040858,Fancyqube Women Striped Long Sleeve Round Neck Shirt,Women Clothes,93602,Fancyqube Women Loose Round Neck Shorts Striped Dress Stripe - intl,Fashion,163000.0,163000.0,,0.619254985807
1104,65989200,Fancyqube Fashion Autumn comfortable breathable air leisure men running shoes sneakers,Men Shoes,223743,"Fancyqube Colorful Glowing Sneakers Shoelaces LED Lighted Shoes
Strings Luminous Shoelaces for Adults Fashion Girls Boys Mens
Womens Blue - intl",Fashion,77000.0,77000.0,,0.28853556791
1105,164130902,Fancycube Handmade Double Loops Net Beads Feather Pendant ,Home & Living,75901,"Fancyqube Fashion Exquisite Handmade Crystal Beaded Double Hoop
Women Black","Jam Tangan, Kacamata, dan Perhiasan",32000.0,32000.0,0.3,0.343011133088
1106,208252817,Fancyqube Men's Short Sleeve T-Shirt American Flag,Men Clothes,85279,Fancyqube Mens Short Sleeve T-Shirt Black,Fashion,198000.0,198000.0,0.2,0.57503531268
1107,185804541,Fancyqube Camouflage Printed Sport Pants Trousers Pants,Women Clothes,148112,"Fancyqube Loose High Waist Sports Casual Pants Shorts Running Pants
Pink - intl",Fashion,131000.0,131000.0,,0.512039403014
